Αζερμπαϊτζάν,Μπακού,B,Asia/Baku
Αίγυπτος,Κάϊρο,B,Africa/Cairo
Αλβανία,Τίρανα,C,Europe/Tirane
Αργεντινή,Μπουένος ʼΑιρες,B,America/Argentina/Buenos_Aires
Αρμενία,Γιερεβάν,B,Asia/Yerevan
Αυστρία,Βελς,A,Europe/Vienna
Αυστρία,Βιέννη,A,Europe/Vienna
Αυστρία,Γκρατς,A,Europe/Vienna
Αυστρία,Ζανκτ Πέλτεν,A,Europe/Vienna
Αυστρία,Ίνσμπρουκ,A,Europe/Vienna
Αυστρία,Κλάγκενφουρτ,A,Europe/Vienna
Αυστρία,Λιντς,A,Europe/Vienna
Αυστρία,Ντόρνμπιρν,A,Europe/Vienna
Αυστρία,Σάλτσμπουργκ,A,Europe/Vienna
Αυστρία,Φίλλαχ,A,Europe/Vienna
Βέλγιο,Άαλστ,A,Europe/Brussels
Βέλγιο,Αμβέρσα,A,Europe/Brussels
Βέλγιο,Άντερλεχτ,A,Europe/Brussels
Βέλγιο,Άσσελτ,A,Europe/Brussels
Βέλγιο,Βρυξέλλες,A,Europe/Brussels
Βέλγιο,Γάνδη,A,Europe/Brussels
Βέλγιο,Ιξέλ,A,Europe/Brussels
Βέλγιο,Κόρτραϊκ,A,Europe/Brussels
Βέλγιο,Λα Λουβιέρ,A,Europe/Brussels
Βέλγιο,Λέουβεν,A,Europe/Brussels
Βέλγιο,Λιέγη,A,Europe/Brussels
Βέλγιο,Μέχελεν,A,Europe/Brussels
Βέλγιο,Μολενμπέκ-Σεν-Ζαν,A,Europe/Brussels
Βέλγιο,Μονς,A,Europe/Brussels
Βέλγιο,Μπρυζ,A,Europe/Brussels
Βέλγιο,Ναμύρ,A,Europe/Brussels
Βέλγιο,Οστένδη,A,Europe/Brussels
Βέλγιο,Σαρλερουά,A,Europe/Brussels
Βέλγιο,Σερμπέκ,A,Europe/Brussels
Βέλγιο,Σιντ Νίκλας,A,Europe/Brussels
Βέλγιο,Τουρναί,A,Europe/Brussels
Βέλγιο,Υκλ,A,Europe/Brussels
Βενεζουέλα,Choroni,A,America/Caracas
Βοσνία-Ερζεγοβίνη,Σαράγεβο,B,Europe/Sarajevo
Βουλγαρία,Βάρνα,C,Europe/Sofia
Βουλγαρία,Σόφια,C,Europe/Sofia
Βουλγαρία,Φιλιππούπολη,C,Europe/Sofia
Βραζιλία,Μπραζίλια,B,America/Sao_Paulo
Βραζιλία,Ρίο,B,America/Sao_Paulo
Γαλλία,Dourdan,A,Europe/Paris
Γαλλία,Αβινιόν,A,Europe/Paris
Γαλλία,Αιξ-αν-Προβάνς,A,Europe/Paris
Γαλλία,Αμιέν,A,Europe/Paris
Γαλλία,Ανζέ,A,Europe/Paris
Γαλλία,Ανιέρ-συρ-Σεν,A,Europe/Paris
Γαλλία,Αντίμπ,A,Europe/Paris
Γαλλία,Αρζαντέιγ,A,Europe/Paris
Γαλλία,Βερσάιγ,A,Europe/Paris
Γαλλία,Βερσαλλίες,A,Europe/Paris
Γαλλία,Βιλερμπάν,A,Europe/Paris
Γαλλία,Βιτρί-συρ-Σεν,A,Europe/Paris
Γαλλία,Βρέστη,A,Europe/Paris
Γαλλία,Γκρενόμπλ,A,Europe/Paris
Γαλλία,Καλαί,A,Europe/Paris
Γαλλία,Καν,A,Europe/Paris
Γαλλία,Κάννες,A,Europe/Paris
Γαλλία,Κλερμόν-Φεράν,A,Europe/Paris
Γαλλία,Κολόμπ,A,Europe/Paris
